respondent_id,age,gender,nationality_region,emirate,education_level,field_of_study,target_industry,years_experience,career_stage,employment_status,monthly_income_aed,goal_type,primary_challenge,signup_channel,subscription_tier,months_active,sessions_attended,messages_sent,num_mentors,mentor_industry_match,mentor_match_score,avg_session_rating,response_time_hours,goals_completed,income_growth_pct,skills_gained,confidence_score,referred_friend,days_to_subscribe,churned,career_outcome
MM0001,29,Female,African,Dubai,Bachelor's,Healthcare,Marketing & Media,2.2,Entry-Level,Unemployed,0.0,Promotion,Visa / Sponsorship,Google Search,Free,9,6,27,1,No,62,3.3,36,3,10.2,2,3.8,Yes,,,Limited
MM0002,23,Female,African,Dubai,Bachelor's,Finance,Hospitality & Tourism,0.7,Student / Fresh Grad,Unemployed,0.0,Career Switch,Interview Preparation,Referral,Free,6,10,20,1,Yes,53,4.0,8,3,5.2,3,3.7,No,,,Limited
MM0003,32,Male,South Asian,Abu Dhabi,PhD,IT / Computer Science,Consulting,3.9,Junior,Employed,11700.0,Salary Increase,Salary Negotiation,LinkedIn,Premium,6,11,40,2,No,64,3.3,1,3,8.8,5,3.6,No,30.0,No,Positive
MM0004,33,Male,MENA (Arab),Sharjah,Master's,Arts & Humanities,Hospitality & Tourism,13.0,Mid-Level,Underemployed,12500.0,Skill Development,Limited Professional Network,University Partnership,Basic,5,10,37,1,No,61,3.6,19,3,19.2,4,3.7,Yes,7.0,No,Positive
MM0005,20,Male,MENA (Arab),Abu Dhabi,Diploma,Healthcare,Consulting,0.8,Student / Fresh Grad,Underemployed,4200.0,Promotion,Interview Preparation,University Partnership,Free,6,6,40,2,No,50,3.0,20,2,18.9,2,5.1,Yes,,,Positive
MM0006,22,Female,Western,Dubai,Bachelor's,Healthcare,Consulting,1.2,Entry-Level,Employed,9400.0,Career Switch,Interview Preparation,Referral,Free,9,11,49,1,Yes,53,3.3,3,3,-15.0,5,1.0,No,,,Limited
MM0007,29,Male,South Asian,Ras Al Khaimah,Bachelor's,Engineering,Consulting,2.0,Entry-Level,Student,0.0,Career Switch,Salary Negotiation,University Partnership,Free,13,16,48,1,Yes,77,3.5,9,4,15.2,7,5.5,No,,,Positive
MM0008,26,Female,South Asian,Dubai,Master's,Business,Logistics & Supply Chain,0.7,Student / Fresh Grad,Underemployed,2900.0,Skill Development,Visa / Sponsorship,Instagram,Free,3,7,15,1,No,27,2.6,5,3,3.1,4,3.5,No,,,Limited
MM0009,28,Male,MENA (Arab),Ras Al Khaimah,Bachelor's,Marketing,Healthcare,3.5,Junior,Employed,10500.0,Promotion,Salary Negotiation,Instagram,Basic,12,19,46,2,Yes,61,3.6,1,5,44.0,5,5.6,Yes,6.0,No,Positive
MM0010,24,Female,South Asian,Sharjah,Master's,IT / Computer Science,Technology / IT,4.8,Junior,Employed,12900.0,Networking,Salary Negotiation,Instagram,Free,15,10,53,1,No,44,2.9,19,4,-3.9,5,4.4,Yes,,,Positive
MM0011,32,Male,MENA (Arab),Sharjah,Diploma,Marketing,Consulting,3.5,Junior,Employed,12300.0,Promotion,Limited Professional Network,LinkedIn,Premium,4,15,72,4,Yes,71,3.8,11,5,30.1,6,9.0,Yes,7.0,No,Positive
MM0012,32,Male,South Asian,Dubai,Bachelor's,Marketing,Finance & Banking,3.1,Junior,Employed,9900.0,Promotion,Interview Preparation,Instagram,Free,8,11,49,1,Yes,73,3.4,14,1,18.1,0,3.5,Yes,,,Limited
MM0013,28,Female,East/SE Asian,Dubai,Master's,Engineering,Technology / IT,4.8,Junior,Employed,18000.0,Promotion,Interview Preparation,Referral,Premium,17,18,51,2,No,53,2.5,1,6,30.2,6,5.7,Yes,13.0,No,Positive
MM0014,33,Male,Western,Abu Dhabi,Bachelor's,Engineering,Marketing & Media,2.4,Entry-Level,Employed,5200.0,Networking,Visa / Sponsorship,LinkedIn,Basic,5,4,21,2,Yes,85,4.0,1,2,15.1,3,6.3,No,3.0,No,Positive
MM0015,30,Male,MENA (Arab),Dubai,Master's,IT / Computer Science,Real Estate,1.9,Entry-Level,Underemployed,5900.0,Career Switch,Skills Gap,LinkedIn,Free,8,7,17,1,No,47,3.6,18,1,-13.0,2,2.4,No,,,Limited
MM0016,24,Female,Western,Dubai,Diploma,Engineering,Hospitality & Tourism,3.8,Junior,Employed,7800.0,Networking,Skills Gap,Referral,Basic,16,18,94,1,No,47,4.4,1,5,33.2,7,6.2,Yes,3.0,No,Positive
MM0017,30,Female,South Asian, Sharjah ,Bachelor's,Finance,Retail,1.4,Entry-Level,Employed,5400.0,Career Switch,Salary Negotiation,Google Search,Free,8,5,32,1,No,31,3.1,2,2,-6.1,2,4.0,No,,,Limited
MM0018,23,Female,MENA (Arab),Abu Dhabi,Diploma,Marketing,Technology / IT,1.9,Entry-Level,Underemployed,6600.0,Skill Development,Limited Professional Network,University Partnership,Free,5,0,8,0,No,0,0.0,9,0,-15.0,1,2.1,No,,,Limited
MM0019,32,Male,South Asian,Dubai,Bachelor's,IT / Computer Science,Finance & Banking,1.6,Entry-Level,Employed,9800.0,Salary Increase,Skills Gap,LinkedIn,Basic,2,3,11,1,Yes,65,3.7,10,2,9.8,1,3.2,Yes,4.0,No,Positive
MM0020,28,Female,East/SE Asian,Dubai,Diploma,Marketing,Finance & Banking,6.6,Mid-Level,Employed,15400.0,Networking,Limited Professional Network,Google Search,Basic,5,12,84,2,Yes,73,4.1,1,6,20.6,6,6.0,Yes,14.0,No,Positive
MM0021,27,Female,East/SE Asian,Dubai,Bachelor's,IT / Computer Science,Technology / IT,1.8,Entry-Level,Employed,9500.0,Career Switch,Interview Preparation,LinkedIn,Free,3,6,29,1,Yes,58,3.9,19,2,18.8,2,4.3,No,,,Positive
MM0022,25,Male,East/SE Asian,Dubai,Bachelor's,Marketing,Marketing & Media,2.8,Entry-Level,Unemployed,0.0,Skill Development,Interview Preparation,LinkedIn,Free,2,3,10,1,No,59,3.6,12,1,-6.5,0,2.0,No,,,Limited
MM0023,34,Male,East/SE Asian,Dubai,Bachelor's,Engineering,Marketing & Media,2.6,Entry-Level,Employed,9600.0,Job Placement,Skills Gap,Referral,Basic,2,6,46,1,Yes,70,3.5,1,0,10.7,0,5.4,Yes,15.0,No,Positive
MM0024,27,Female,African,Abu Dhabi,Bachelor's,Marketing,Healthcare,6.9,Mid-Level,Employed,13000.0,Job Placement,Skills Gap,Instagram,Free,5,8,27,1,Yes,58,3.8,15,5,-1.4,6,3.4,No,,,Limited
MM0025,26,Male,South Asian,Abu Dhabi,Diploma,Marketing,Technology / IT,5.9,Junior,Employed,,Networking,Visa / Sponsorship,Google Search,Premium,6,21,82,2,Yes,89,3.7,1,4,43.8,6,7.2,No,5.0,No,Positive
MM0026,26,Female,African,Dubai,Bachelor's,Engineering,Hospitality & Tourism,4.6,Junior,Employed,9100.0,Networking,Visa / Sponsorship,LinkedIn,Free,3,6,1,1,Yes,64,2.8,10,0,5.2,2,1.9,No,,,Limited
MM0027,31,Female,MENA (Arab),Dubai,Diploma,IT / Computer Science,Finance & Banking,6.1,Mid-Level,Unemployed,0.0,Job Placement,Salary Negotiation,LinkedIn,Free,3,4,21,1,No,57,2.6,10,1,-6.4,2,2.0,No,,,Limited
MM0028,30,Female,MENA (Arab),Abu Dhabi,Master's,Healthcare,Consulting,4.7,Junior,Underemployed,7600.0,Salary Increase,Limited Professional Network,Instagram,Free,2,1,3,1,Yes,72,3.4,14,2,11.5,2,5.6,No,,,Positive
MM0029,30,Male,MENA (Arab),Abu Dhabi,Diploma,Engineering,Healthcare,0.9,Student / Fresh Grad,Unemployed,0.0,Career Switch,Salary Negotiation,LinkedIn,Basic,14,18,103,1,No,56,3.4,11,5,5.2,5,5.2,Yes,6.0,No,Positive
MM0030,30,Male,South Asian,Sharjah,Bachelor's,Marketing,Finance & Banking,1.2,Entry-Level,Underemployed,4200.0,Salary Increase,Interview Preparation,LinkedIn,Basic,7,8,21,1,Yes,71,4.8,20,1,30.9,2,6.2,No,13.0,No,Positive
MM0031,38,Male,South Asian,Dubai,Master's,Other,Logistics & Supply Chain,3.1,Junior,Employed,8000.0,Networking,Career Direction,LinkedIn,Free,6,2,7,1,No,58,3.3,13,1,11.5,0,4.6,Yes,,,Limited
MM0032,26,Male,South Asian, Abu Dhabi ,Bachelor's,Healthcare,Marketing & Media,2.7,Entry-Level,Employed,5100.0,Salary Increase,Visa / Sponsorship,Instagram,Basic,6,9,32,1,No,37,3.2,1,2,20.1,2,3.5,No,6.0,Yes,Limited
MM0033,26,Female,South Asian,Dubai,Bachelor's,IT / Computer Science,Technology / IT,2.8,Entry-Level,Employed,9700.0,Networking,Skills Gap,Google Search,Free,7,4,28,1,No,49,3.1,6,2,-15.0,2,3.4,No,,,Limited
MM0034,24,Female,MENA (Arab),Dubai,Bachelor's,Finance,Consulting,2.1,Entry-Level,Employed,8600.0,Salary Increase,Limited Professional Network,LinkedIn,Free,12,6,9,3,Yes,60,3.7,68,4,-15.0,5,6.1,No,,,Positive
MM0035,31,Male,East/SE Asian,Sharjah,Diploma,Other,Healthcare,3.4,Junior,Underemployed,5100.0,Skill Development,Career Direction,Referral,Free,16,14,49,2,Yes,65,3.6,2,4,42.4,5,9.3,Yes,,,Positive
MM0036,33,Male,MENA (Arab),Dubai,Bachelor's,Finance,Finance & Banking,5.1,Junior,Employed,16600.0,Job Placement,Interview Preparation,Referral,Basic,20,21,96,1,Yes,64,3.1,45,5,21.8,7,5.6,No,7.0,No,Positive
MM0037,27,Female,MENA (Arab),Dubai,Master's,Business,Technology / IT,1.8,Entry-Level,Employed,8400.0,Career Switch,Interview Preparation,Instagram,Free,7,4,19,1,Yes,72,3.1,44,0,-13.1,0,2.6,Yes,,,Limited
MM0038,24,Male,MENA (Arab),Dubai,PhD,Business,Consulting,2.5,Entry-Level,Underemployed,5400.0,Skill Development,Interview Preparation,Instagram,Free,3,2,11,1,Yes,55,3.2,3,1,1.2,1,3.7,No,,,Limited
MM0039,24,Male,MENA (Arab),Dubai,Bachelor's,Healthcare,Construction,9.1,Mid-Level,Employed,15100.0,Job Placement,Visa / Sponsorship,Referral,Premium,9,15,40,2,Yes,76,3.2,19,4,24.8,6,7.1,Yes,2.0,No,Positive
MM0040,31,Male,South Asian,Dubai,Bachelor's,IT / Computer Science,Healthcare,2.7,Entry-Level,Employed,9500.0,Salary Increase,Interview Preparation,Google Search,Basic,11,14,81,4,Yes,65,3.4,15,5,6.5,6,5.9,Yes,9.0,No,Positive
MM0041,32,Female,East/SE Asian,Abu Dhabi,Master's,Engineering,Healthcare,6.3,Mid-Level,Underemployed,9000.0,Job Placement,Salary Negotiation,LinkedIn,Premium,13,16,66,2,Yes,91,3.9,22,4,28.0,6,4.6,Yes,14.0,No,Positive
MM0042,31,Male,South Asian,Dubai,Bachelor's,Engineering,Consulting,0.6,Student / Fresh Grad,Student,0.0,Networking,Limited Professional Network,Google Search,Free,11,7,11,1,No,31,2.8,6,2,-4.7,3,1.0,No,,,Limited
MM0043,25,Female,Western,Dubai,Bachelor's,Marketing,Hospitality & Tourism,6.9,Mid-Level,Employed,9800.0,Promotion,Career Direction,LinkedIn,Free,12,6,7,1,Yes,78,4.4,19,1,5.2,2,4.9,Yes,,,Limited
MM0044,29,Male,Western,Sharjah,Bachelor's,IT / Computer Science,Finance & Banking,2.3,Entry-Level,Underemployed,6300.0,Networking,Career Direction,Instagram,Free,5,4,21,1,No,63,4.0,8,5,15.2,3,5.3,No,,,Positive
MM0045,29,Female,MENA (Arab),Dubai,Bachelor's,Healthcare,Real Estate,4.8,Junior,Unemployed,0.0,Salary Increase,Career Direction,Instagram,Free,17,1,11,1,No,45,3.1,5,2,4.8,1,3.4,No,,,Limited
MM0046,29,Male,East/SE Asian,Sharjah,Bachelor's,Marketing,Construction,2.5,Entry-Level,Employed,7400.0,Career Switch,Salary Negotiation,LinkedIn,Free,9,1,10,1,No,59,2.9,15,2,-15.0,2,1.0,No,,,Limited
MM0047,32,Male,South Asian,Dubai,Bachelor's,Other,Marketing & Media,1.4,Entry-Level,Underemployed,3000.0,Skill Development,Visa / Sponsorship,LinkedIn,Free,1,7,35,1,Yes,63,3.4,23,1,2.0,0,3.0,No,,,Limited
MM0048,29,Male,East/SE Asian,Abu Dhabi,Diploma,Arts & Humanities,Construction,3.6,Junior,Employed,8500.0,Job Placement,Interview Preparation,LinkedIn,Free,7,3,15,1,No,65,3.4,22,0,-3.3,0,2.7,No,,,Limited
MM0049,31,Male,Western,Dubai,Diploma,Engineering,Finance & Banking,2.4,Entry-Level,Employed,11000.0,Networking,Limited Professional Network,LinkedIn,Free,7,10,42,1,Yes,71,3.5,28,2,6.5,3,3.1,No,,,Positive
MM0050,28,Male,Western,Sharjah,Master's,Finance,Hospitality & Tourism,5.7,Junior,Underemployed,6600.0,Networking,Salary Negotiation,Referral,Premium,5,14,64,1,No,88,3.6,1,3,0.7,3,3.5,Yes,16.0,No,Positive
MM0051,29,Male,MENA (Arab),Dubai,Diploma,Business,Healthcare,2.1,Entry-Level,Student,0.0,Career Switch,Limited Professional Network,LinkedIn,Free,7,3,6,1,Yes,48,2.8,44,0,-15.0,0,1.8,No,,,Limited
MM0052,31,Male,East/SE Asian,Sharjah,Diploma,Other,Technology / IT,5.5,Junior,Underemployed,8900.0,Job Placement,Career Direction,Google Search,Free,8,7,16,1,Yes,64,3.5,14,2,-5.6,1,3.1,Yes,,,Limited
MM0053,21,Male,African,Dubai,Bachelor's,Engineering,Technology / IT,8.9,Mid-Level,Underemployed,14200.0,Career Switch,Visa / Sponsorship,University Partnership,Premium,7,16,39,1,Yes,64,3.3,1,5,28.7,5,5.2,Yes,4.0,No,Positive
MM0054,26,Female,MENA (Arab),Abu Dhabi,Bachelor's,Finance,Marketing & Media,2.0,Entry-Level,Unemployed,0.0,Job Placement,Limited Professional Network,LinkedIn,Premium,9,20,53,4,Yes,75,3.5,19,3,37.8,6,6.8,No,6.0,No,Positive
MM0055,26,Male,Western,Dubai,PhD,Healthcare,Consulting,2.1,Entry-Level,Underemployed,4700.0,Networking,Limited Professional Network,LinkedIn,Premium,8,18,104,2,Yes,99,3.9,5,3,35.3,5,6.7,Yes,15.0,No,Positive
